Pt.,Top Layer,Lower Code 1,Lower Code 2,Lower Code 3,Soil Surface,Ht. (cm),Litter depth (mm),Microsite,Notes
1,N,N,N,N,CB,0,0,OPEN,
2,N,HL,N,N,GR,0,1,OPEN,
3,N,N,N,N,GR,0,0,OPEN,
4,D-SUBS,HL,N,N,GR,35,3,CANOPY,
5,N,N,N,N,SOIL,0,0,OPEN,
6,N,SD,N,N,GR,1,0,OPEN,
7,N,SD,N,N,DUFF,10,2,CANOPY,
8,SHRUB,SD,N,N,DUFF,90,4,CANOPY,
9,SHRUB,SD-H,SD-H,N,DUFF,100,4,CANOPY,
10,SHRUB,SD-H,N,N,GR,100,1,CANOPY,
11,SHRUB,SD-H,N,N,DUFF,105,1,CANOPY,
12,SHRUB,SD,N,N,GR,105,0,CANOPY,LATR
13,N,HL,N,N,GR,0,1,OPEN,
14,SD-H,HL,N,N,DUFF,40,2,GRASS,
15,SD-H,HL,N,N,SOIL,35,2,CANOPY,
16,SHRUB,N,N,N,GR,135,0,CANOPY,
17,SHRUB,N,N,N,CB,135,0,CANOPY,
18,N,N,N,N,SOIL,0,0,CANOPY,
19,N,N,N,N,CB,0,0,OPEN,
20,SHRUB,SD-H,N,N,DUFF,150,3,CANOPY,
21,N,SD-H,N,N,SOIL,20,0,OPEN,
22,N,SD-H,WL,N,DUFF,25,4,OPEN,
23,N,SD-H,N,N,CR,5,0,OPEN,
24,SUBS,SL,N,N,GR,50,8,CANOPY,
25,SUBS,WL,N,N,DUFF,60,15,CANOPY,
26,N,N,N,N,CB,0,0,OPEN,
27,N,SD-H,N,N,DUFF,15,1,OPEN,
28,N,N,N,N,GR,0,0,OPEN,
29,SUBS,SD-H,SL,N,DUFF,50,4,CANOPY,
30,N,N,SL,N,SOIL,0,2,ROCK,NEXT TO CLIFF
31,N,SD-H,N,N,GR,4,0,OPEN,
32,N,N,N,N,ST,0,0,OPEN,
33,N,N,N,N,GR,0,0,OPEN,
34,SUBS,DUFF,N,N,SOIL,45,1,CANOPY,
35,SUBS,SL,N,N,GR,50,5,CANOPY,
36,N,N,N,N,SOIL,0,0,OPEN,
37,N,SD-H,HL,N,SOIL,10,1,OPEN,
38,SUBS,WL,DUFF,N,SOIL,55,7,CANOPY,
39,N,N,N,N,GR,0,0,OPEN,
40,N,SD-H,HL,N,GR,10,2,OPEN,
41,SHRUB,SL,N,N,GR,125,2,CANOPY,
42,SHRUB,SD-H,SL,N,SOIL,125,6,CANOPY,
43,SHRUB,SD-H,SL,N,SOIL,125,8,CANOPY,
44,SHRUB,SD-H,SL,N,GR,125,4,CANOPY,
45,SHRUB,SUBS,SD-H,SL,SOIL,125,2,CANOPY,
46,N,N,N,N,GR,0,0,OPEN,
47,N,N,N,N,GR,0,0,OPEN,
48,SUBS,N,N,N,GR,0,0,CANOPY,
49,N,N,N,N,DUFF,0,1,OPEN,
50,N,N,N,N,SOIL,0,0,OPEN,
51,N,N,N,N,SOIL,0,0,OPEN,
52,N,N,N,N,SOIL,0,0,OPEN,
53,N,N,N,N,GR,0,0,OPEN,
54,N,N,N,N,GR,0,0,OPEN,
55,N,N,N,N,SOIL,0,0,OPEN,
56,N,SD-H,WL,N,SOIL,12,7,GRASS,
57,N,SD-H,N,N,SOIL,5,0,OPEN,
58,N,HL,N,N,SOIL,0,1,OPEN,
59,N,N,N,N,GR,0,0,OPEN,
60,N,WL,N,N,GR,0,300,OPEN,
61,N,HL,N,N,GR,0,2,OPEN,
62,N,N,N,N,GR,0,0,OPEN,
63,SUBS,SD-H,N,N,GR,30,0,CANOPY,
64,N,HL,N,N,SOIL,0,1,OPEN,
65,N,HL,N,N,GR,0,3,OPEN,
66,SUBS,SD-H,HL,N,CRST,55,2,CANOPY,
67,SHRUB,SUBS,SD-H,HL,CRST,300,5,CANOPY,PALO VERDE
68,SHRUB,SUBS,N,N,CRST,300,0,CANOPY,
69,SUBS,HL,N,N,GR,45,3,CANOPY,
70,SUBS,HL,N,N,SOIL,45,2,CANOPY,
71,SUBS,WL,N,N,SOIL,40,8,CANOPY,
72,SUBS,N,N,N,GR,45,0,CANOPY,
73,N,N,HL,N,GR,0,1,OPEN,
74,N,HL,N,N,GR,0,1,OPEN,
75,N,N,N,N,GR,0,0,OPEN,
76,SHRUB,HL,N,N,CR,80,2,CANOPY,
77,N,N,N,N,GR,0,0,OPEN,
78,SUBS,N,N,N,SOIL,30,0,CANOPY,
79,SUBS,HL,N,N,GR,38,1,CANOPY,
80,N,N,N,N,GR,0,0,OPEN,
81,SHRUB,N,N,N,GR,150,0,CANOPY,
82,SHRUB,ARTR,SL,N,SOIL,150,2,CANOPY,
83,N,SD-H,N,N,GR,4,0,OPEN,
84,SUBS,HL,N,N,GR,40,2,CANOPY,
85,SUBS,N,N,N,GR,40,0,CANOPY,
86,N,HL,N,N,GR,0,1,OPEN,
87,SUBS,N,N,N,CRST,45,0,CANOPY,
88,SUBS,HL,N,N,GR,30,1,CANOPY,
89,SUBS,N,N,N,GR,28,0,CANOPY,
90,N,N,N,N,SOIL,0,0,OPEN,
